source	target	frequency
AXIN1	TNKS	0.01
AXIN2	GSK3B	0.01
AXL	GAS6	0.01
AZGP1	ITGAV	0.01
AZI2	TBK1	0.01
B2M	CD1A	0.01
B2M	LILRB1	0.01
B2M	TAPBP	0.01
B3GNT3	CD274	0.01
BABAM1	BRCA1	0.01
BAD	GCK	0.01
BAD	PAK5	0.01
BAD	PPP3R1	0.01
BAD	RPS6KA2	0.01
BAG1	HSPA8	0.01
BAG1	PPP1R15A	0.01
BAG2	STUB1	0.01
BAG3	HSPA8	0.01
BAG6	NCR3	0.01
BAG6	SGTA	0.01
BAIAP2	CDC42	0.01
BAIAP2	WASF1	0.01
BANF1	PPP4C	0.01
BANF1	VRK1	0.01
BAX	BCL2	0.01
BAX	BID	0.01
BAX	GFI1	0.01
BAX	PYCARD	0.01
BBC3	BCL2L2	0.01
BCAM	LAMA5	0.01
BCAR1	PKN3	0.01
BCAR1	PTPN1	0.01
BCAR1	PTPN12	0.01
BCKDK	SRC	0.01
BCL10	CARD11	0.01
BCL10	CARD9	0.01
BCL11B	PRKCA	0.01
BCL2	BIK	0.01
BCL2	BNIP3	0.01
BCL2	FKBP8	0.01
BCL2	NR4A1	0.01
BCL2	TP53AIP1	0.01
BCL2L1	BIK	0.01
BCL2L1	BMF	0.01
BCL2L1	HRK	0.01
BCL2L1	PINK1	0.01
BCL2L1	PMAIP1	0.01
BCL2L1	SIVA1	0.01
BCL2L1	STAT5A	0.01
BCL2L1	VDAC1	0.01
BCL2L11	BCL2L2	0.01
BCL2L11	DLC1	0.01
BCL2L12	GSK3B	0.01
BCL2L2	BID	0.01
BCL3	NFKB1	0.01
BCL3	NFKB2	0.01
BCL6	NCOR2	0.01
BCL9	CTNNB1	0.01
BCL9	PYGO1	0.01
BCR	HCK	0.01
BCR	YWHAZ	0.01
BDKRB1	KNG1	0.01
BDKRB2	GRK4	0.01
BECN1	PIK3C3	0.01
BECN1	RUBCN	0.01
BECN1	STYK1	0.01
BECN1	VMP1	0.01
BEST1	PRKCD	0.01
BEX3	NTF4	0.01
BGLAP	CTSB	0.01
BGLAP	CTSH	0.01
BGLAP	CTSS	0.01
BGLAP	GPR158	0.01
BGN	TLR2	0.01
BHLHE40	UBE2I	0.01
BHLHE41	NCOR2	0.01
BICD1	GSK3B	0.01
BID	CAPN1	0.01
BID	CAPN2	0.01
BID	GZMB	0.01
BIRC5	DIABLO	0.01
BIRC6	DIABLO	0.01
BIRC7	DIABLO	0.01
BLK	CGAS	0.01
BLK	FCGR2A	0.01
BLM	CHAF1A	0.01
BLM	CHEK1	0.01
BLM	FANCM	0.01
BLM	FEN1	0.01
BLNK	SYK	0.01
BLVRA	PRKCB	0.01
BMAL1	CRY1	0.01
BMAL1	NR1D1	0.01
BMAL1	RORB	0.01
BMF	DYNLL2	0.01
BMP1	COL1A1	0.01
BMP2	BMPR1B	0.01
BMP2	BMPR1B_BMPR2	0.01
BMP2	RGMA	0.01
BMP2	RGMB	0.01
BMP4	BMPR1B	0.01
BMP4	GREM2	0.01
BMP5	BMPR1A	0.01
BMP7	BMPR1A	0.01
BMP8A	BMPR1B_BMPR2	0.01
BMP8B	BMPR1B_BMPR2	0.01
BMPR1A	CTDNEP1	0.01
BMPR1A	GDF9	0.01
BMPR1A	SMAD1	0.01
BMPR1B	SMAD1	0.01
BMX	RUFY1	0.01
BMX	STAT3	0.01
BNC1	PRKCA	0.01
BOC	IHH	0.01
BORA	PLK1	0.01
BPI	SPI1	0.01
BRAF	EEF1A2	0.01
BRAF	HRAS	0.01
BRAF	MAP2K2	0.01
BRCA1	BRIP1	0.01
BRCA1	LMO4	0.01
BRCA1	RBBP8	0.01
BRCA2	FANCD2	0.01
BRCA2	PALB2	0.01
BRCA2	SEM1	0.01
BRD2	H4C9	0.01
BRDT	H4C9	0.01
BRMS1	CSNK2A1	0.01
BRS3	NMB	0.01
BRSK1	CDC25C	0.01
BRSK1	TUBG1	0.01
BRSK2	CDC25C	0.01
BSG	NXNL1	0.01
BSG	PPIA	0.01
BSG	SELE	0.01
BSG	SLC16A1	0.01
BSG	SLC16A7	0.01
BST1	CAV1	0.01
BTC	ERBB3	0.01
BTF3	GAL	0.01
BTF3	IFTAP	0.01
BTG2	TP53	0.01
BTG3	PER2	0.01
BTK	IKZF1	0.01
BTK	TEC	0.01
BTLA	CD79A	0.01
BTLA	TNFRSF14	0.01
BTLA	VTCN1	0.01
BTN1A1	JAML	0.01
BTN1A1	NEGR1	0.01
BTNL8	SIGLEC6	0.01
BTRC	GLI3	0.01
BTRC	IGF2BP1	0.01
BTRC	LGI3	0.01
BUB1	CDC20	0.01
BUB1	SMC1A	0.01
BUB1B	CDC20	0.01
C1QA	CD93	0.01
C1QA	CSPG4	0.01
C1QB	LRP1	0.01
C1QC	CD33	0.01
C1R	CSNK2A2	0.01
C1RL	HP	0.01
C2	MASP1	0.01
C3	C3AR1	0.01
C3	C5AR2	0.01
C3	CD19	0.01
C3	CD46	0.01
C3	CFH	0.01
C3	CFI	0.01
C3	CR2	0.01
C3	CSMD1	0.01
C3	ITGAM	0.01
C3	ITGAX	0.01
C3	ITGB2	0.01
C3AR1	C4A	0.01
C4A	MASP2	0.01
C4B	CD46	0.01
C4BPA	CD40	0.01
