gene	expr_score	expr_direction	prom_score	prom_direction	body_score	body_direction	concordance	prize
PWRN4	0.829895844075487	-1	NA	NA	NA	NA	0	0.829895844075487
AC134312.5	0.82984428173662	1	NA	NA	NA	NA	0	0.82984428173662
RNF39	0.829792719397752	1	NA	NA	NA	NA	0	0.829792719397752
FAR2P2	0.829741157058884	-1	NA	NA	NA	NA	0	0.829741157058884
SLAMF9	0.829689594720016	1	NA	NA	NA	NA	0	0.829689594720016
SOX8	0.829638032381149	1	NA	NA	NA	NA	0	0.829638032381149
FGF16	0.829586470042281	-1	NA	NA	NA	NA	0	0.829586470042281
RNU6ATAC35P	0.829534907703413	-1	NA	NA	NA	NA	0	0.829534907703413
TERB2	0.829483345364546	-1	NA	NA	NA	NA	0	0.829483345364546
PBK	0.829431783025678	1	NA	NA	NA	NA	0	0.829431783025678
DEUP1	0.82938022068681	-1	NA	NA	NA	NA	0	0.82938022068681
KIF28P	0.829328658347943	-1	NA	NA	NA	NA	0	0.829328658347943
AC074132.1	0.829277096009075	1	NA	NA	NA	NA	0	0.829277096009075
PRKG1	0.829225533670207	-1	NA	NA	NA	NA	0	0.829225533670207
SHH	0.82917397133134	1	NA	NA	NA	NA	0	0.82917397133134
FBLN7	0.829122408992472	-1	NA	NA	NA	NA	0	0.829122408992472
WDR11-AS1	0.829070846653604	-1	NA	NA	NA	NA	0	0.829070846653604
F12	0.829019284314736	1	NA	NA	NA	NA	0	0.829019284314736
KLK1	0.828967721975869	-1	NA	NA	NA	NA	0	0.828967721975869
LRRIQ3	0.828916159637001	-1	NA	NA	NA	NA	0	0.828916159637001
PPP1R12A-AS1	0.828864597298133	-1	NA	NA	NA	NA	0	0.828864597298133
BNIP5	0.828813034959266	1	NA	NA	NA	NA	0	0.828813034959266
MAB21L2	0.828761472620398	-1	NA	NA	NA	NA	0	0.828761472620398
AC008840.1	0.82870991028153	1	NA	NA	NA	NA	0	0.82870991028153
MT1HL1	0.828658347942663	-1	NA	NA	NA	NA	0	0.828658347942663
AC025871.3	0.828606785603795	-1	NA	NA	NA	NA	0	0.828606785603795
AC013457.1	0.828555223264927	1	NA	NA	NA	NA	0	0.828555223264927
CTSLP2	0.82850366092606	-1	NA	NA	NA	NA	0	0.82850366092606
SFRP2	0.828452098587192	-1	NA	NA	NA	NA	0	0.828452098587192
AC090739.1	0.828400536248324	-1	NA	NA	NA	NA	0	0.828400536248324
SMIM1	0.828348973909456	1	NA	NA	NA	NA	0	0.828348973909456
SIPA1L2	0.828297411570589	1	NA	NA	NA	NA	0	0.828297411570589
SPIB	0.828245849231721	-1	NA	NA	NA	NA	0	0.828245849231721
DINOL	0.828194286892853	1	NA	NA	NA	NA	0	0.828194286892853
AC073140.1	0.828142724553986	-1	NA	NA	NA	NA	0	0.828142724553986
AL390778.2	0.828091162215118	1	NA	NA	NA	NA	0	0.828091162215118
PPM1L	0.82803959987625	-1	NA	NA	NA	NA	0	0.82803959987625
AC008687.4	0.827988037537383	1	NA	NA	NA	NA	0	0.827988037537383
KLK8	0.827936475198515	1	NA	NA	NA	NA	0	0.827936475198515
AL133370.2	0.827884912859647	1	NA	NA	NA	NA	0	0.827884912859647
HMOX1	0.82783335052078	1	NA	NA	NA	NA	0	0.82783335052078
CHST8	0.827781788181912	-1	NA	NA	NA	NA	0	0.827781788181912
LINC02718	0.827730225843044	1	NA	NA	NA	NA	0	0.827730225843044
DNAH8	0.827678663504177	-1	NA	NA	NA	NA	0	0.827678663504177
AC116562.3	0.827627101165309	1	NA	NA	NA	NA	0	0.827627101165309
LINC02666	0.827575538826441	-1	NA	NA	NA	NA	0	0.827575538826441
AL160408.6	0.827523976487573	-1	NA	NA	NA	NA	0	0.827523976487573
LINC01933	0.827472414148706	1	NA	NA	NA	NA	0	0.827472414148706
FAT4	0.827420851809838	-1	NA	NA	NA	NA	0	0.827420851809838
AC017104.5	0.82736928947097	-1	NA	NA	NA	NA	0	0.82736928947097
PGM5P4-AS1	0.827317727132103	-1	NA	NA	NA	NA	0	0.827317727132103
GDNF-AS1	0.827266164793235	1	NA	NA	NA	NA	0	0.827266164793235
AC084871.3	0.827214602454367	1	NA	NA	NA	NA	0	0.827214602454367
AC007114.2	0.8271630401155	-1	NA	NA	NA	NA	0	0.8271630401155
NMUR2	0.827111477776632	-1	NA	NA	NA	NA	0	0.827111477776632
AC103760.1	0.827059915437764	-1	NA	NA	NA	NA	0	0.827059915437764
LINC01726	0.827008353098897	-1	NA	NA	NA	NA	0	0.827008353098897
BEND4	0.826956790760029	-1	NA	NA	NA	NA	0	0.826956790760029
NFAM1	0.826905228421161	1	NA	NA	NA	NA	0	0.826905228421161
AC084759.2	0.826853666082293	-1	NA	NA	NA	NA	0	0.826853666082293
NANOS3	0.826802103743426	1	NA	NA	NA	NA	0	0.826802103743426
GPR4	0.826750541404558	1	NA	NA	NA	NA	0	0.826750541404558
AP003080.1	0.82669897906569	-1	NA	NA	NA	NA	0	0.82669897906569
AC245041.1	0.826647416726823	1	NA	NA	NA	NA	0	0.826647416726823
IRS3P	0.826595854387955	1	NA	NA	NA	NA	0	0.826595854387955
TNFRSF4	0.826544292049087	1	NA	NA	NA	NA	0	0.826544292049087
AC094019.2	0.82649272971022	-1	NA	NA	NA	NA	0	0.82649272971022
AL136441.1	0.826441167371352	-1	NA	NA	NA	NA	0	0.826441167371352
MDGA2	0.826389605032484	-1	NA	NA	NA	NA	0	0.826389605032484
AC079949.1	0.826338042693617	-1	NA	NA	NA	NA	0	0.826338042693617
ARMCX3	0.826286480354749	1	NA	NA	NA	NA	0	0.826286480354749
KIF6	0.826234918015881	-1	NA	NA	NA	NA	0	0.826234918015881
P3H3	0.826183355677014	1	NA	NA	NA	NA	0	0.826183355677014
SVOPL	0.826131793338146	1	NA	NA	NA	NA	0	0.826131793338146
AC009244.1	0.826080230999278	-1	NA	NA	NA	NA	0	0.826080230999278
OR2A1	0.82602866866041	-1	NA	NA	NA	NA	0	0.82602866866041
DRGX	0.825977106321543	1	NA	NA	NA	NA	0	0.825977106321543
AC008969.2	0.825925543982675	-1	NA	NA	NA	NA	0	0.825925543982675
ZIM2	0.825873981643807	-1	NA	NA	NA	NA	0	0.825873981643807
SNX25	0.82582241930494	1	NA	NA	NA	NA	0	0.82582241930494
AC110998.1	0.825770856966072	-1	NA	NA	NA	NA	0	0.825770856966072
AC005330.1	0.825719294627204	1	NA	NA	NA	NA	0	0.825719294627204
C1QTNF2	0.825667732288337	-1	NA	NA	NA	NA	0	0.825667732288337
SIGLEC11	0.825616169949469	-1	NA	NA	NA	NA	0	0.825616169949469
TMEM121B	0.825564607610601	1	NA	NA	NA	NA	0	0.825564607610601
AF131215.7	0.825513045271734	1	NA	NA	NA	NA	0	0.825513045271734
AL357075.3	0.825461482932866	-1	NA	NA	NA	NA	0	0.825461482932866
FOXO1B	0.825409920593998	-1	NA	NA	NA	NA	0	0.825409920593998
HGF	0.82535835825513	-1	NA	NA	NA	NA	0	0.82535835825513
MIR6071	0.825306795916263	-1	NA	NA	NA	NA	0	0.825306795916263
KRT18P59	0.825255233577395	-1	NA	NA	NA	NA	0	0.825255233577395
PYCARD	0.825203671238527	1	NA	NA	NA	NA	0	0.825203671238527
Z82214.1	0.82515210889966	1	NA	NA	NA	NA	0	0.82515210889966
AP000356.3	0.825100546560792	1	NA	NA	NA	NA	0	0.825100546560792
MIR5685	0.825048984221924	-1	NA	NA	NA	NA	0	0.825048984221924
DAPL1	0.824997421883057	1	NA	NA	NA	NA	0	0.824997421883057
AC012360.1	0.824945859544189	-1	NA	NA	NA	NA	0	0.824945859544189
IZUMO1R	0.824894297205321	-1	NA	NA	NA	NA	0	0.824894297205321
GPR84	0.824842734866454	1	NA	NA	NA	NA	0	0.824842734866454
Z82186.1	0.824791172527586	1	NA	NA	NA	NA	0	0.824791172527586
CCL11	0.824739610188718	1	NA	NA	NA	NA	0	0.824739610188718
AP006565.1	0.82468804784985	1	NA	NA	NA	NA	0	0.82468804784985
TMEM139-AS1	0.824636485510983	-1	NA	NA	NA	NA	0	0.824636485510983
GNA15	0.824584923172115	1	NA	NA	NA	NA	0	0.824584923172115
FAM95B1	0.824533360833247	-1	NA	NA	NA	NA	0	0.824533360833247
OR7E116P	0.82448179849438	-1	NA	NA	NA	NA	0	0.82448179849438
NHS	0.824430236155512	-1	NA	NA	NA	NA	0	0.824430236155512
PLP1	0.824378673816644	-1	NA	NA	NA	NA	0	0.824378673816644
PDLIM7	0.824327111477777	1	NA	NA	NA	NA	0	0.824327111477777
NEURL1	0.824275549138909	1	NA	NA	NA	NA	0	0.824275549138909
VEPH1	0.824223986800041	-1	NA	NA	NA	NA	0	0.824223986800041
CDH24	0.824172424461174	1	NA	NA	NA	NA	0	0.824172424461174
ACSM5P1	0.824120862122306	-1	NA	NA	NA	NA	0	0.824120862122306
AC245014.3	0.824069299783438	-1	NA	NA	NA	NA	0	0.824069299783438
AC122129.1	0.82401773744457	-1	NA	NA	NA	NA	0	0.82401773744457
AL627171.1	0.823966175105703	-1	NA	NA	NA	NA	0	0.823966175105703
AC006197.2	0.823914612766835	1	NA	NA	NA	NA	0	0.823914612766835
NHLRC4	0.823863050427967	1	NA	NA	NA	NA	0	0.823863050427967
AC090673.1	0.8238114880891	1	NA	NA	NA	NA	0	0.8238114880891
SDC3	0.823759925750232	1	NA	NA	NA	NA	0	0.823759925750232
TOB1	0.823708363411364	-1	NA	NA	NA	NA	0	0.823708363411364
CPA3	0.823656801072497	1	NA	NA	NA	NA	0	0.823656801072497
SMIM22	0.823605238733629	1	NA	NA	NA	NA	0	0.823605238733629
FBXO2	0.823553676394761	1	NA	NA	NA	NA	0	0.823553676394761
AL353151.2	0.823502114055894	-1	NA	NA	NA	NA	0	0.823502114055894
AC004593.1	0.823450551717026	1	NA	NA	NA	NA	0	0.823450551717026
AC007614.1	0.823398989378158	1	NA	NA	NA	NA	0	0.823398989378158
PRKX	0.82334742703929	-1	NA	NA	NA	NA	0	0.82334742703929
TMC3-AS1	0.823295864700423	-1	NA	NA	NA	NA	0	0.823295864700423
SYTL3	0.823244302361555	-1	NA	NA	NA	NA	0	0.823244302361555
AL445430.2	0.823192740022687	-1	NA	NA	NA	NA	0	0.823192740022687
NT5E	0.82314117768382	1	NA	NA	NA	NA	0	0.82314117768382
AL391244.1	0.823089615344952	1	NA	NA	NA	NA	0	0.823089615344952
CD36	0.823038053006084	-1	NA	NA	NA	NA	0	0.823038053006084
SNX22	0.822986490667217	1	NA	NA	NA	NA	0	0.822986490667217
SAMD1	0.822934928328349	1	NA	NA	NA	NA	0	0.822934928328349
PTCH2	0.822883365989481	-1	NA	NA	NA	NA	0	0.822883365989481
IQSEC3	0.822831803650614	1	NA	NA	NA	NA	0	0.822831803650614
LINC02815	0.822780241311746	-1	NA	NA	NA	NA	0	0.822780241311746
DNASE1L2	0.822728678972878	1	NA	NA	NA	NA	0	0.822728678972878
PCLO	0.82267711663401	-1	NA	NA	NA	NA	0	0.82267711663401
AC011511.2	0.822625554295143	1	NA	NA	NA	NA	0	0.822625554295143
EML6	0.822573991956275	-1	NA	NA	NA	NA	0	0.822573991956275
AL133304.3	0.822522429617407	-1	NA	NA	NA	NA	0	0.822522429617407
HTRA3	0.82247086727854	-1	NA	NA	NA	NA	0	0.82247086727854
DISP3	0.822419304939672	1	NA	NA	NA	NA	0	0.822419304939672
ADAMTS7	0.822367742600804	1	NA	NA	NA	NA	0	0.822367742600804
RTN1	0.822316180261937	-1	NA	NA	NA	NA	0	0.822316180261937
AC017015.2	0.822264617923069	-1	NA	NA	NA	NA	0	0.822264617923069
LINC02397	0.822213055584201	-1	NA	NA	NA	NA	0	0.822213055584201
OR7E26P	0.822161493245334	1	NA	NA	NA	NA	0	0.822161493245334
LINC00365	0.822109930906466	1	NA	NA	NA	NA	0	0.822109930906466
ENO4	0.822058368567598	-1	NA	NA	NA	NA	0	0.822058368567598
AC006273.1	0.822006806228731	-1	NA	NA	NA	NA	0	0.822006806228731
LINC01258	0.821955243889863	-1	NA	NA	NA	NA	0	0.821955243889863
AL135791.1	0.821903681550995	-1	NA	NA	NA	NA	0	0.821903681550995
AC114971.1	0.821852119212127	-1	NA	NA	NA	NA	0	0.821852119212127
LINC00866	0.82180055687326	1	NA	NA	NA	NA	0	0.82180055687326
