gene	log2FC	padj	AveExpr	t
POM121L9P	-0.533592490955092	0.00144698317960154	-0.98440456941705	-3.57801836741452
CD163	0.533565253703655	0.0089881425710273	3.98550559526653	2.91364247988976
VWA5A	0.533563966605473	2.80376656133437e-08	5.06415551996884	6.76679178834457
PRDM5	-0.533555596530976	3.39606596151367e-09	3.46155937240678	-7.34152038668537
CORO1B	0.533484953284942	5.09623915867699e-13	7.00335873097837	9.77672995153395
LINC00654	-0.533386991469006	0.000522106216202991	1.89845416444292	-3.91981734095737
SHLD2P1	-0.533284306173476	0.006618153123392	-4.35909556311811	-3.03106058698159
AL049767.1	-0.533264188743902	0.0601212681523302	-5.38918451956273	-2.09712425360402
EBP	0.533158401967975	6.26154823452063e-05	3.35619489730952	4.58541550508427
DLGAP1-AS1	0.533158251256796	1.9935873012572e-07	3.47811865190871	6.2306260556625
TRIAP1	0.533103649145445	5.57924632909231e-10	3.99488976520232	7.83202619594502
CAV1	-0.53304372282589	0.00659503974646664	8.22683655443208	-3.03244898889389
AC125494.3	-0.533030346013249	0.00831165890061801	-4.01518133234848	-2.94412991725583
AL160408.3	0.532989645666604	0.0328094980966712	-5.2832330864959	2.37798143179904
CAPN10-DT	0.53297296136116	0.000216202377812849	0.993944902249882	4.2020475841531
ATXN1L	-0.532813396480088	4.73021776396398e-08	5.73526585867778	-6.62414561910049
PAQR3	-0.532775201057008	4.67506506226213e-08	3.43493522149195	-6.62744136963642
KLRG2	-0.532733939495926	0.012174284279771	3.13564736607344	-2.79416569358975
TRBC2	-0.532698312106302	0.0507642081095915	2.94825208742026	-2.17809907636949
AL009178.1	0.532583155372411	0.037344433845458	-4.90282779887407	2.31965958757883
FAM3C2P	0.532517652365259	0.00113278347912711	2.18105444174795	3.6619419503518
AL353593.2	-0.532477745479942	0.00609513084276758	-2.38762044826831	-3.06231845893464
AC010996.1	-0.532468607009211	0.00286865561993247	-3.3105098332983	-3.33898457063011
IGLL5	-0.532428496910787	0.126872231313417	-2.65669543628018	-1.70912217735067
KNDC1	0.532303844605595	0.000140363996697666	3.54813167232117	4.33775789894331
ARRDC3-AS1	-0.532237866690618	5.32526555470964e-07	-0.977972574300935	-5.9582848915864
FAM118A	-0.532213243905312	1.45529663929871e-10	4.23309071710916	-8.20090734581026
FDX1	-0.532198958464072	2.44332615808168e-10	5.31193695546017	-8.05865146108391
PHKA1	0.532126499371035	1.85424584009136e-07	4.6807563292685	6.25109424482961
MORF4L2-AS1	-0.532102046546334	3.62774796641001e-05	-0.466493084988232	-4.74839909477077
ORM1	0.532062411471666	0.0502410981949855	-2.82768773121022	2.1832549988801
ANKRD20A5P	0.531981351683318	0.0113501035687178	0.437245280638472	2.82211413583283
ZMYND11	-0.53197783088032	3.29666099796869e-10	7.40267406410817	-7.97606009892876
ADCYAP1	-0.531967734064893	0.1986483653166	-3.48158533744604	-1.448370345221
CPLX2	0.531925815704671	0.31116171476174	-4.20562461350119	1.15438244438472
IL1A	-0.531867552698516	0.0772952344523853	-2.22941782331128	-1.97266421313827
HDAC7	0.531828762216957	2.55904492575243e-17	6.59195957862287	12.7748352239811
KLF10	-0.531729582037128	0.000335633618926098	6.16265778540988	-4.06207890971521
STK4-AS1	-0.531692701207157	0.000131929002933658	-1.46267498599585	-4.35716830488386
AC104532.2	-0.531669116455353	1.74815718915268e-05	-0.263278005078033	-4.96449404242222
ITGB8	0.531598551942535	0.0113569988349574	4.38284461507356	2.82182918612169
CNBD2	-0.531531620185873	3.28125726181084e-06	-1.89611819341837	-5.44730528672713
ADGRB2	0.531500648924623	0.000678551213255407	3.88409861655909	3.83359692897182
GFI1	-0.531447637899552	0.00142457628215616	0.476160151842065	-3.58330579743656
CDCA4P1	-0.531332314094932	0.00930381288988982	-3.79160779428541	-2.90012596396975
RPS26P28	0.5313285571921	0.0356212408854819	-4.28606931847312	2.34073895077968
RAPGEF2	-0.531327735530537	4.31787901158543e-07	5.93556593293472	-6.01627437644056
MIR4453HG	-0.531315866439995	6.27967576719439e-08	2.54847358680386	-6.54671153433977
LPCAT1	0.531245695904628	1.37964372054409e-08	5.22311116990556	6.96050894811096
CACNA2D2	0.531168702312572	0.0178381568021658	3.13325645310849	2.63875828825512
ST7-AS2	-0.531129300392407	0.0188636731483375	-4.39827146166541	-2.61549203397523
TMEM250	0.531114463976839	7.75944287387073e-12	4.90851924348542	9.00651300208218
AL023803.2	0.531068313376709	0.0152203370352322	-5.66610075271776	2.7038557482827
IGKV3-20	-0.530991418590491	0.156454747238524	3.19321082099994	-1.59049700326137
AL138762.1	-0.530953465519447	6.58299361339723e-05	0.22918404308779	-4.57021802309476
AL162724.2	-0.530952119232611	0.0328547966998157	-3.80869013963152	-2.37731660711316
CARMN	0.530942311527856	0.00670071094535208	0.965101429801485	3.0263415297626
